WORD,GROUND_TRUTH
физиономист_NOUN,0.0
выпячивание_NOUN,0.0
фармация_NOUN,0.0
прилегание_NOUN,0.0
книжность_NOUN,0.0
барион_NOUN,0.0
пороша_NOUN,0.0
законоположение_NOUN,0.0
драка_NOUN,0.0
стихия_NOUN,0.0
оболочка_NOUN,0.0
конструктор_NOUN,0.0
откат_NOUN,0.0
созерцатель_NOUN,0.0
конформизм_NOUN,0.0
сверкание_NOUN,0.0
утенок_NOUN,0.0
собирательство_NOUN,0.0
скрепер_NOUN,0.0
пакостник_NOUN,0.0
беспочвенность_NOUN,0.0
лесозаготовитель_NOUN,0.0
клип_NOUN,0.0
грамотей_NOUN,0.0
вегетарианец_NOUN,0.0
щебет_NOUN,0.0
обрядность_NOUN,0.0
феска_NOUN,0.0
калач_NOUN,0.0
расщелина_NOUN,0.0
стойло_NOUN,0.0
нарекание_NOUN,0.0
голытьба_NOUN,0.0
караульный_NOUN,0.0
жбан_NOUN,0.0
незаинтересованность_NOUN,0.0
гудрон_NOUN,0.0
логик_NOUN,0.0
самолечение_NOUN,0.0
лачужка_NOUN,0.0
ратуша_NOUN,0.0
маникюр_NOUN,0.0
прелюдия_NOUN,0.0
занос_NOUN,0.0
безвестность_NOUN,0.0
горшочек_NOUN,0.0
взаимозависимость_NOUN,0.0
хандра_NOUN,0.0
исчерпанность_NOUN,0.0
мутовка_NOUN,0.0
гарсон_NOUN,0.0
засолка_NOUN,0.0
чудище_NOUN,0.0
перевязка_NOUN,0.0
зной_NOUN,0.0
завиток_NOUN,0.0
размеренность_NOUN,0.0
накладная_NOUN,0.0
прочерк_NOUN,0.0
хлебопашец_NOUN,0.0
тахометр_NOUN,0.0
прислужница_NOUN,0.0
автоген_NOUN,0.0
слагаемое_NOUN,0.0
привратник_NOUN,0.0
придыхание_NOUN,0.0
иждивение_NOUN,0.0
самокритика_NOUN,0.0
съемщик_NOUN,0.0
предсердие_NOUN,0.0
раскрепощенность_NOUN,0.0
сжимаемость_NOUN,0.0
весомость_NOUN,0.0
универсализм_NOUN,0.0
оленевод_NOUN,0.0
призрение_NOUN,0.0
ворон_NOUN,0.0
пеликан_NOUN,0.0
быстродействие_NOUN,0.0
избыточность_NOUN,0.0
птичница_NOUN,0.0
неврология_NOUN,0.0
финалист_NOUN,0.0
разбиение_NOUN,0.0
облако_NOUN,0.0
крестьянин_NOUN,0.0
мешок_NOUN,0.0
фон_NOUN,0.0
ломаный_ADJ,0.0
обоюдный_ADJ,0.0
теннисный_ADJ,0.0
криминальный_ADJ,0.0
волосяной_ADJ,0.0
нераскрытый_ADJ,0.0
острейший_ADJ,0.0
тертый_ADJ,0.0
зарешеченный_ADJ,0.0
сульфидный_ADJ,0.0
сорокаметровый_ADJ,0.0
некоронованный_ADJ,0.0
клюквенный_ADJ,0.0
очистительный_ADJ,0.0
санаторный_ADJ,0.0
пятнистый_ADJ,0.0
многоразовый_ADJ,0.0
изнеженный_ADJ,0.0
кораблестроительный_ADJ,0.0
поролоновый_ADJ,0.0
сострадательный_ADJ,0.0
фортепьянный_ADJ,0.0
кипарисовый_ADJ,0.0
киношный_ADJ,0.0
опаленный_ADJ,0.0
ведический_ADJ,0.0
захватывающий_ADJ,0.0
восьмиконечный_ADJ,0.0
